Train Noise Type,Train Noise Level,Test Noise Type,Test Noise Level,LSD,Mean Polar ACC Error (Degrees),Mean Polar RMS Error (Degrees),Mean Quadrant Error (%),
Pink,30,Pink,30,6.374,-3.561,37.385,10.776,
Pink,30,Pink,20,6.373,-6.013,37.917,13.586,
Pink,30,Pink,10,6.372,-5.960,37.897,13.565,
Pink,30,Pink,0,8.695,-4.516,37.755,16.192,
Pink,30,Pink,-10,14.744,-17.974,40.432,26.027,
Pink,30,Pink,-20,NaN,NaN,NaN,NaN,
Pink,30,Brown,30,4.325,-3.570,37.395,10.749,
Pink,30,Brown,20,4.343,-3.511,37.406,10.772,
Pink,30,Brown,10,,,,,
Pink,30,Brown,0,,,,,
Pink,30,Brown,-10,,,,,
Pink,30,Brown,-20,,,,,
Pink,30,White,30,4.485,-4.117,37.515,11.050,
Pink,30,White,20,5.509,-5.785,37.818,12.451,
Pink,30,White,10,,,,,
Pink,30,White,0,,,,,
Pink,30,White,-10,,,,,
Pink,30,White,-20,,,,,
Pink,20,Pink,30,6.931,-6.863,37.867,15.834,
Pink,20,Pink,20,6.930,-6.859,37.847,15.812,
Pink,20,Pink,10,6.928,-6.878,37.838,15.829,
Pink,20,Pink,0,8.273,-4.861,37.819,17.990,
Pink,20,Pink,-10,14.838,-35.667,42.626,38.529,
Pink,20,Pink,-20,NaN,,,,
Pink,20,Brown,30,4.506,-5.837,37.297,12.700,
Pink,20,Brown,20,4.527,-5.766,37.299,12.738,
Pink,20,Brown,10,4.767,-5.714,37.417,13.155,
Pink,20,Brown,0,,,,,
Pink,20,Brown,-10,,,,,
Pink,20,Brown,-20,,,,,
Pink,20,White,30,4.684,-6.016,37.402,13.041,
Pink,20,White,20,5.914,-6.679,37.685,14.744,
Pink,20,White,10,8.696,-6.673,38.042,17.205,
Pink,20,White,0,,,,,
Pink,20,White,-10,,,,,
Pink,20,White,-20,,,,,
Pink,10,Pink,30,6.665,-6.170,38.202,15.781,
Pink,10,Pink,20,6.664,-6.260,38.171,15.900,
Pink,10,Pink,10,6.663,-6.184,38.229,15.806,
Pink,10,Pink,0,7.848,-5.115,38.158,17.341,
Pink,10,Pink,-10,17.109,-45.175,44.051,41.536,
Pink,10,Pink,-20,NaN,NaN,NaN,NaN,
Pink,10,Brown,30,,,,,
Pink,10,Brown,20,4.303,-4.260,37.579,12.178,
Pink,10,Brown,10,4.398,-3.584,37.506,12.120,
Pink,10,Brown,0,6.013,-0.181,37.728,12.359,
Pink,10,Brown,-10,,,,,
Pink,10,Brown,-20,,,,,
Pink,10,White,30,,,,,
Pink,10,White,20,5.703,-5.995,38.114,14.752,
Pink,10,White,10,8.716,-8.692,38.761,18.460,
Pink,10,White,0,17.782,-32.876,42.671,33.115,
Pink,10,White,-10,,,,,
Pink,10,White,-20,,,,,
Pink,0,Pink,30,6.282,-4.093,38.611,15.299,
Pink,0,Pink,20,6.282,-4.129,38.588,15.292,
Pink,0,Pink,10,6.280,-4.144,38.573,15.293,
Pink,0,Pink,0,10.818,-12.568,40.227,23.398,
Pink,0,Pink,-10,10.300,-14.768,40.689,27.703,
Pink,0,Pink,-20,17.531,-46.826,46.247,32.853,
Pink,0,Brown,30,,,,,
Pink,0,Brown,20,,,,,
Pink,0,Brown,10,5.078,-1.696,37.934,12.484,
Pink,0,Brown,0,8.465,-6.891,39.078,17.145,
Pink,0,Brown,-10,14.069,-25.041,42.325,25.470,
Pink,0,Brown,-20,,,,,
Pink,0,White,30,,,,,
Pink,0,White,20,,,,,
Pink,0,White,10,9.118,-12.133,39.841,20.488,
Pink,0,White,0,11.598,-19.708,41.518,29.075,
Pink,0,White,-10,13.012,-33.899,43.347,33.032,
Pink,0,White,-20,,,,,
Pink,-10,Pink,30,7.164,-12.452,39.738,22.881,
Pink,-10,Pink,20,7.161,-12.350,39.744,22.927,
Pink,-10,Pink,10,7.165,-12.497,39.762,22.936,
Pink,-10,Pink,0,11.445,-32.097,42.358,32.457,
Pink,-10,Pink,-10,16.749,-48.922,44.548,39.951,
Pink,-10,Pink,-20,NaN,,,,
Pink,-10,Brown,30,,,,,
Pink,-10,Brown,20,,,,,
Pink,-10,Brown,10,,,,,
Pink,-10,Brown,0,,,,,
Pink,-10,Brown,-10,14.298,-25.716,42.229,31.509,
Pink,-10,Brown,-20,,,,,
Pink,-10,White,30,,,,,
Pink,-10,White,20,,,,,
Pink,-10,White,10,,,,,
Pink,-10,White,0,,,,,
Pink,-10,White,-10,15.967,-53.098,45.075,41.193,
Pink,-10,White,-20,,,,,
Pink,-20,Pink,30,8.889,-18.840,39.619,22.479,
Pink,-20,Pink,20,8.887,-18.898,39.571,22.555,
Pink,-20,Pink,10,8.889,-18.894,39.602,22.528,
Pink,-20,Pink,0,12.359,-30.528,42.426,31.867,
Pink,-20,Pink,-10,18.603,-58.295,45.740,42.910,
Pink,-20,Pink,-20,22.435,-61.491,46.895,44.001,
Pink,-20,Brown,30,,,,,
Pink,-20,Brown,20,,,,,
Pink,-20,Brown,10,,,,,
Pink,-20,Brown,0,,,,,
Pink,-20,Brown,-10,,,,,
Pink,-20,Brown,-20,NaN,NaN,NaN,NaN,NaN
Pink,-20,White,30,,,,,
Pink,-20,White,20,,,,,
Pink,-20,White,10,,,,,
Pink,-20,White,0,,,,,
