Train/Test,Pink 30dB SNR,Pink 20dB SNR,Pink 10dB SNR,Pink 0dB SNR,Pink -10dB SNR,Pink -20dB SNR,Brown 30dB SNR,Brown 20dB SNR,Brown 10dB SNR,Brown 0dB SNR,Brown -10dB SNR,Brown -20dB SNR,White 30dB SNR,White 20dB SNR,White 10dB SNR,White 0dB SNR,White -10dB SNR,White -20dB SNR
Pink 30dB SNR,6.374,6.373,6.372,8.695,14.744,NaN,4.325,4.343,,,,,4.485,5.509,,,,
Pink 20dB SNR,6.931,6.930,6.928,8.273,14.838,NaN,4.506,4.527,4.767,,,,4.684,5.914,8.696,,,
Pink 10dB SNR,6.665,6.664,6.663,7.848,17.109,NaN,,4.303,4.398,6.013,,,,5.703,8.716,17.782,,
Pink 0dB SNR,6.282,6.282,6.280,10.818,10.300,17.531,,,5.078,8.465,14.069,,,,9.118,11.598,13.012,
Pink -10dB SNR,7.164,7.161,7.165,11.445,16.749,NaN,,,,,14.298,,,,,,15.967,
Pink -20dB SNR,8.889,8.887,8.889,12.359,18.603,22.435,,,,,,NaN,,,,,,22.630
Brown 30dB SNR,4.389,4.390,,,,,4.072,4.073,4.249,13.157,NaN,NaN,4.093,4.189,,,,
Brown 20dB SNR,4.052,4.053,4.052,,,,3.913,3.917,3.969,5.181,NaN,NaN,3.920,4.051,4.423,,,
Brown 10dB SNR,,4.437,4.436,5.549,,,4.164,4.169,4.239,4.527,6.644,NaN,,4.297,5.038,9.005,,
Brown 0dB SNR,,,6.350,10.998,NaN,,5.807,5.816,5.910,6.448,17.755,NaN,,,7.647,NaN,NaN,
Brown -10dB SNR,,,,,10.891,,8.779,8.788,8.891,9.386,10.364,11.147,,,,,11.797,
Brown -20dB SNR,,,,,,17.425,6.794,6.832,7.166,8.783,13.402,16.187,,,,,,23.757
White 30dB SNR,5.365,5.362,,,,,4.146,4.137,,,,,4.289,5.086,9.375,36.838,NaN,NaN
White 20dB SNR,6.404,6.402,6.400,,,,4.137,4.135,4.229,,,,4.336,5.751,7.965,20.841,NaN,NaN
White 10dB SNR,,7.097,7.097,9.974,,,,4.978,4.755,9.577,,,5.268,6.479,9.975,10.553,12.674,NaN
White 0dB SNR,,,5.110,9.550,17.244,,,,4.322,5.372,23.183,,4.556,4.966,7.032,13.408,13.775,20.352
White -10dB SNR,,,,,12.716,,,,,,32.701,,5.520,5.705,6.888,13.200,18.494,18.466
White -20dB SNR,,,,,,NaN,,,,,,NaN,7.196,7.484,9.099,13.083,18.055,23.028
