Train Noise Type,Train Noise Level,Test Noise Type,Test Noise Level,LSD,,,,
Pink,30,Pink,30,6.374,,,,
Pink,30,Pink,20,6.373,,,,
Pink,30,Pink,10,6.372,,,,
Pink,30,Pink,0,8.695,,,,
Pink,30,Pink,-10,14.744,,,,
Pink,30,Pink,-20,NaN,,,,
Pink,30,Brown,30,4.325,,,,
Pink,30,Brown,20,4.343,,,,
Pink,30,Brown,10,,,,,
Pink,30,Brown,0,,,,,
Pink,30,Brown,-10,,,,,
Pink,30,Brown,-20,,,,,
Pink,30,White,30,4.485,,,,
Pink,30,White,20,5.509,,,,
Pink,30,White,10,,,,,
Pink,30,White,0,,,,,
Pink,30,White,-10,,,,,
Pink,30,White,-20,,,,,
Pink,20,Pink,30,6.931,,,,
Pink,20,Pink,20,6.930,,,,
Pink,20,Pink,10,6.928,,,,
Pink,20,Pink,0,8.273,,,,
Pink,20,Pink,-10,14.838,,,,
Pink,20,Pink,-20,NaN,,,,
Pink,20,Brown,30,4.506,,,,
Pink,20,Brown,20,4.527,,,,
Pink,20,Brown,10,4.767,,,,
Pink,20,Brown,0,,,,,
Pink,20,Brown,-10,,,,,
Pink,20,Brown,-20,,,,,
Pink,20,White,30,4.684,,,,
Pink,20,White,20,5.914,,,,
Pink,20,White,10,8.696,,,,
Pink,20,White,0,,,,,
Pink,20,White,-10,,,,,
Pink,20,White,-20,,,,,
Pink,10,Pink,30,6.665,,,,
Pink,10,Pink,20,6.664,,,,
Pink,10,Pink,10,6.663,,,,
Pink,10,Pink,0,7.848,,,,
Pink,10,Pink,-10,17.109,,,,
Pink,10,Pink,-20,NaN,,,,
Pink,10,Brown,30,,,,,
Pink,10,Brown,20,4.303,,,,
Pink,10,Brown,10,4.398,,,,
Pink,10,Brown,0,6.013,,,,
Pink,10,Brown,-10,,,,,
Pink,10,Brown,-20,,,,,
Pink,10,White,30,,,,,
Pink,10,White,20,5.703,,,,
Pink,10,White,10,8.716,,,,
Pink,10,White,0,17.782,,,,
Pink,10,White,-10,,,,,
Pink,10,White,-20,,,,,
Pink,0,Pink,30,6.282,,,,
Pink,0,Pink,20,6.282,,,,
Pink,0,Pink,10,6.280,,,,
Pink,0,Pink,0,10.818,,,,
Pink,0,Pink,-10,10.300,,,,
Pink,0,Pink,-20,17.531,,,,
Pink,0,Brown,30,,,,,
Pink,0,Brown,20,,,,,
Pink,0,Brown,10,5.078,,,,
Pink,0,Brown,0,8.465,,,,
Pink,0,Brown,-10,14.069,,,,
Pink,0,Brown,-20,,,,,
Pink,0,White,30,,,,,
Pink,0,White,20,,,,,
Pink,0,White,10,9.118,,,,
Pink,0,White,0,11.598,,,,
Pink,0,White,-10,13.012,,,,
Pink,0,White,-20,,,,,
Pink,-10,Pink,30,7.164,,,,
Pink,-10,Pink,20,7.161,,,,
Pink,-10,Pink,10,7.165,,,,
Pink,-10,Pink,0,11.445,,,,
Pink,-10,Pink,-10,16.749,,,,
Pink,-10,Pink,-20,NaN,,,,
Pink,-10,Brown,30,,,,,
Pink,-10,Brown,20,,,,,
Pink,-10,Brown,10,,,,,
Pink,-10,Brown,0,,,,,
Pink,-10,Brown,-10,14.298,,,,
Pink,-10,Brown,-20,,,,,
Pink,-10,White,30,,,,,
Pink,-10,White,20,,,,,
Pink,-10,White,10,,,,,
Pink,-10,White,0,,,,,
Pink,-10,White,-10,15.967,,,,
Pink,-10,White,-20,,,,,
Pink,-20,Pink,30,8.889,,,,
Pink,-20,Pink,20,8.887,,,,
Pink,-20,Pink,10,8.889,,,,
Pink,-20,Pink,0,12.359,,,,
Pink,-20,Pink,-10,18.603,,,,
Pink,-20,Pink,-20,22.435,,,,
Pink,-20,Brown,30,,,,,
Pink,-20,Brown,20,,,,,
Pink,-20,Brown,10,,,,,
Pink,-20,Brown,0,,,,,
Pink,-20,Brown,-10,,,,,
Pink,-20,Brown,-20,NaN,,,,
Pink,-20,White,30,,,,,
Pink,-20,White,20,,,,,
Pink,-20,White,10,,,,,
Pink,-20,White,0,,,,,
Pink,-20,White,-10,,,,,
Pink,-20,White,-20,22.630,,,,
Brown,30,Pink,30,4.389,,,,
Brown,30,Pink,20,4.390,,,,
Brown,30,Pink,10,,,,,
Brown,30,Pink,0,,,,,
Brown,30,Pink,-10,,,,,
Brown,30,Pink,-20,,,,,
Brown,30,Brown,30,4.072,,,,
Brown,30,Brown,20,4.073,,,,
Brown,30,Brown,10,4.249,,,,
Brown,30,Brown,0,13.157,,,,
Brown,30,Brown,-10,NaN,,,,
Brown,30,Brown,-20,NaN,,,,
Brown,30,White,30,4.093,,,,
Brown,30,White,20,4.189,,,,
Brown,30,White,10,,,,,
Brown,30,White,0,,,,,
Brown,30,White,-10,,,,,
Brown,30,White,-20,,,,,
Brown,20,Pink,30,4.052,,,,
Brown,20,Pink,20,4.053,,,,
Brown,20,Pink,10,4.052,,,,
Brown,20,Pink,0,,,,,
Brown,20,Pink,-10,,,,,
Brown,20,Pink,-20,,,,,
Brown,20,Brown,30,3.913,,,,
Brown,20,Brown,20,3.917,,,,
Brown,20,Brown,10,3.969,,,,
Brown,20,Brown,0,5.181,,,,
Brown,20,Brown,-10,NaN,,,,
Brown,20,Brown,-20,NaN,,,,
Brown,20,White,30,3.920,,,,
Brown,20,White,20,4.051,,,,
Brown,20,White,10,4.423,,,,
Brown,20,White,0,,,,,
Brown,20,White,-10,,,,,
Brown,20,White,-20,,,,,
Brown,10,Pink,30,,,,,
Brown,10,Pink,20,4.437,,,,
Brown,10,Pink,10,4.436,,,,
Brown,10,Pink,0,5.549,,,,
Brown,10,Pink,-10,,,,,
Brown,10,Pink,-20,,,,,
Brown,10,Brown,30,4.164,,,,
Brown,10,Brown,20,4.169,,,,
Brown,10,Brown,10,4.239,,,,
Brown,10,Brown,0,4.527,,,,
Brown,10,Brown,-10,6.644,,,,
Brown,10,Brown,-20,NaN,,,,
Brown,10,White,30,,,,,
Brown,10,White,20,4.297,,,,
Brown,10,White,10,5.038,,,,
Brown,10,White,0,9.005,,,,
Brown,10,White,-10,,,,,
Brown,10,White,-20,,,,,
Brown,0,Pink,30,,,,,
Brown,0,Pink,20,,,,,
Brown,0,Pink,10,6.350,,,,
Brown,0,Pink,0,10.998,,,,
Brown,0,Pink,-10,NaN,,,,
Brown,0,Pink,-20,,,,,
Brown,0,Brown,30,5.807,,,,
Brown,0,Brown,20,5.816,,,,
Brown,0,Brown,10,5.910,,,,
Brown,0,Brown,0,6.448,,,,
Brown,0,Brown,-10,17.755,,,,
Brown,0,Brown,-20,NaN,,,,
Brown,0,White,30,,,,,
Brown,0,White,20,,,,,
Brown,0,White,10,7.647,,,,
Brown,0,White,0,NaN,,,,
Brown,0,White,-10,NaN,,,,
Brown,0,White,-20,,,,,
Brown,-10,Pink,30,,,,,
Brown,-10,Pink,20,,,,,
Brown,-10,Pink,10,,,,,
Brown,-10,Pink,0,,,,,
Brown,-10,Pink,-10,10.891,,,,
Brown,-10,Pink,-20,,,,,
Brown,-10,Brown,30,8.779,,,,
Brown,-10,Brown,20,8.788,,,,
Brown,-10,Brown,10,8.891,,,,
Brown,-10,Brown,0,9.386,,,,
Brown,-10,Brown,-10,10.364,,,,
Brown,-10,Brown,-20,11.147,,,,
Brown,-10,White,30,,,,,
Brown,-10,White,20,,,,,
Brown,-10,White,10,,,,,
Brown,-10,White,0,,,,,
Brown,-10,White,-10,11.797,,,,
Brown,-10,White,-20,,,,,
Brown,-20,Pink,30,,,,,
Brown,-20,Pink,20,,,,,
Brown,-20,Pink,10,,,,,
Brown,-20,Pink,0,,,,,
Brown,-20,Pink,-10,,,,,
Brown,-20,Pink,-20,17.425,,,,
Brown,-20,Brown,30,6.794,,,,
Brown,-20,Brown,20,6.832,,,,
Brown,-20,Brown,10,7.166,,,,
Brown,-20,Brown,0,8.783,,,,
Brown,-20,Brown,-10,13.402,,,,
Brown,-20,Brown,-20,16.187,,,,
Brown,-20,White,30,,,,,
Brown,-20,White,20,,,,,
Brown,-20,White,10,,,,,
Brown,-20,White,0,,,,,
Brown,-20,White,-10,,,,,
Brown,-20,White,-20,23.757,,,,
White,30,Pink,30,5.365,,,,
White,30,Pink,20,5.362,,,,
White,30,Pink,10,,,,,
White,30,Pink,0,,,,,
White,30,Pink,-10,,,,,
White,30,Pink,-20,,,,,
White,30,Brown,30,4.146,,,,
White,30,Brown,20,4.137,,,,
White,30,Brown,10,,,,,
White,30,Brown,0,,,,,
White,30,Brown,-10,,,,,
White,30,Brown,-20,,,,,
White,30,White,30,4.289,,,,
White,30,White,20,5.086,,,,
White,30,White,10,9.375,,,,
White,30,White,0,36.838,,,,
White,30,White,-10,NaN,,,,
White,30,White,-20,NaN,,,,
White,20,Pink,30,6.404,,,,
White,20,Pink,20,6.402,,,,
White,20,Pink,10,6.400,,,,
White,20,Pink,0,,,,,
White,20,Pink,-10,,,,,
White,20,Pink,-20,,,,,
White,20,Brown,30,4.137,,,,
White,20,Brown,20,4.135,,,,
White,20,Brown,10,4.229,,,,
White,20,Brown,0,,,,,
White,20,Brown,-10,,,,,
White,20,Brown,-20,,,,,
White,20,White,30,4.336,,,,
White,20,White,20,5.751,,,,
White,20,White,10,7.965,,,,
White,20,White,0,20.841,,,,
White,20,White,-10,NaN,,,,
White,20,White,-20,NaN,,,,
White,10,Pink,30,,,,,
White,10,Pink,20,7.097,,,,
White,10,Pink,10,7.097,,,,
White,10,Pink,0,9.974,,,,
White,10,Pink,-10,,,,,
White,10,Pink,-20,,,,,
White,10,Brown,30,,,,,
White,10,Brown,20,4.978,,,,
White,10,Brown,10,4.755,,,,
White,10,Brown,0,9.577,,,,
White,10,Brown,-10,,,,,
White,10,Brown,-20,,,,,
White,10,White,30,5.268,,,,
White,10,White,20,6.479,,,,
White,10,White,10,9.975,,,,
White,10,White,0,10.553,,,,
White,10,White,-10,12.674,,,,
White,10,White,-20,NaN,,,,
White,0,Pink,30,,,,,
White,0,Pink,20,,,,,
White,0,Pink,10,5.110,,,,
White,0,Pink,0,9.550,,,,
White,0,Pink,-10,17.244,,,,
White,0,Pink,-20,,,,,
White,0,Brown,30,,,,,
White,0,Brown,20,,,,,
White,0,Brown,10,4.322,,,,
White,0,Brown,0,5.372,,,,
White,0,Brown,-10,23.183,,,,
White,0,Brown,-20,,,,,
White,0,White,30,4.556,,,,
White,0,White,20,4.966,,,,
White,0,White,10,7.032,,,,
White,0,White,0,13.408,,,,
White,0,White,-10,13.775,,,,
White,0,White,-20,20.352,,,,
White,-10,Pink,30,,,,,
White,-10,Pink,20,,,,,
White,-10,Pink,10,,,,,
White,-10,Pink,0,,,,,
White,-10,Pink,-10,12.716,,,,
White,-10,Pink,-20,,,,,
White,-10,Brown,30,,,,,
White,-10,Brown,20,,,,,
White,-10,Brown,10,,,,,
White,-10,Brown,0,,,,,
White,-10,Brown,-10,32.701,,,,
White,-10,Brown,-20,,,,,
White,-10,White,30,5.520,,,,
White,-10,White,20,5.705,,,,
White,-10,White,10,6.888,,,,
White,-10,White,0,13.200,,,,
White,-10,White,-10,18.494,,,,
White,-10,White,-20,18.466,,,,
White,-20,Pink,30,,,,,
White,-20,Pink,20,,,,,
White,-20,Pink,10,,,,,
White,-20,Pink,0,,,,,
White,-20,Pink,-10,,,,,
White,-20,Pink,-20,NaN,,,,
White,-20,Brown,30,,,,,
White,-20,Brown,20,,,,,
White,-20,Brown,10,,,,,
White,-20,Brown,0,,,,,
White,-20,Brown,-10,,,,,
White,-20,Brown,-20,NaN,,,,
White,-20,White,30,7.196,,,,
White,-20,White,20,7.484,,,,
White,-20,White,10,9.099,,,,
White,-20,White,0,13.083,,,,
White,-20,White,-10,18.055,,,,
White,-20,White,-20,23.028,,,,
