Train/Test,Pink 30dB SNR,Pink 20dB SNR,Pink 10dB SNR,Pink 0dB SNR,Pink -10dB SNR,Pink -20dB SNR,Brown 30dB SNR,Brown 20dB SNR,Brown 10dB SNR,Brown 0dB SNR,Brown -10dB SNR,Brown -20dB SNR,White 30dB SNR,White 20dB SNR,White 10dB SNR,White 0dB SNR,White -10dB SNR,White -20dB SNR
Pink 30dB SNR,-3.561,-6.013,-5.960,-4.516,-17.974,NaN,-3.570,-3.511,,,,,-4.117,-5.785,,,,
Pink 20dB SNR,-6.863,-6.859,-6.878,-4.861,-35.667,NaN,-5.837,-5.766,-5.714,,,,-6.016,-6.679,-6.673,,,
Pink 10dB SNR,-6.170,-6.260,-6.184,-5.115,-45.175,NaN,,-4.260,-3.584,-0.181,,,,-5.995,-8.692,-32.876,,
Pink 0dB SNR,-4.093,-4.129,-4.144,-12.568,-14.768,-46.826,,,-1.696,-6.891,-25.041,,,,-12.133,-19.708,-33.899,
Pink -10dB SNR,-12.452,-12.350,-12.497,-32.097,-48.922,NaN,,,,,-25.716,,,,,,-53.098,
Pink -20dB SNR,-18.840,-18.898,-18.894,-30.528,-58.295,-61.491,,,,,,NaN,,,,,,-62.670
Brown 30dB SNR,-6.794,-6.806,,,,,-2.867,-2.943,-4.047,-25.598,NaN,NaN,-3.179,-4.209,,,,
Brown 20dB SNR,-6.794,-6.806,-0.240,,,,-0.010,0.109,0.607,-3.639,NaN,NaN,-0.100,-0.449,-2.457,,,
Brown 10dB SNR,,-0.272,-0.179,-4.471,,,0.993,0.985,0.782,1.500,-7.949,NaN,,0.068,-2.860,-25.747,,
Brown 0dB SNR,,,-6.677,-20.349,NaN,,-4.586,-4.694,-4.931,-6.099,-23.616,NaN,,,-10.209,NaN,NaN,
Brown -10dB SNR,,,,,-31.635,,-16.642,-16.719,-17.082,-19.950,-29.184,-33.303,,,,,-38.765,
Brown -20dB SNR,,,,,,-66.107,-9.342,-9.371,-10.312,-16.460,-38.314,-50.970,,,,,,-68.948
White 30dB SNR,-10.733,-10.700,,,,,-6.148,-5.980,,,,,-6.999,-9.853,-25.473,-69.232,NaN,NaN
White 20dB SNR,0.350,0.369,0.377,,,,0.941,1.033,2.092,,,,0.761,0.045,1.277,-9.002,NaN,NaN
White 10dB SNR,,-3.618,-3.540,-11.744,,,,-2.625,-1.929,-24.598,,,-2.770,-3.099,-6.448,-2.585,-16.964,NaN
White 0dB SNR,,,-8.382,-15.345,-46.251,,,,-3.145,-3.930,-62.866,,-5.235,-7.713,-16.606,-27.716,-33.002,-44.037
White -10dB SNR,,,,,-5.682,,,,,,-66.388,,-2.395,-3.624,-11.204,-36.980,-53.059,-54.979
White -20dB SNR,,,,,,NaN,,,,,,NaN,-5.390,-7.669,-23.349,-43.574,-60.546,-63.709
