Train/Test,Pink 30dB SNR,Pink 20dB SNR,Pink 10dB SNR,Pink 0dB SNR,Pink -10dB SNR,Pink -20dB SNR,Brown 30dB SNR,Brown 20dB SNR,Brown 10dB SNR,Brown 0dB SNR,Brown -10dB SNR,Brown -20dB SNR,White 30dB SNR,White 20dB SNR,White 10dB SNR,White 0dB SNR,White -10dB SNR,White -20dB SNR
Pink 30dB SNR,37.385,37.917,37.897,37.755,40.432,NaN,37.395,37.406,,,,,37.515,37.818,,,,
Pink 20dB SNR,37.867,37.847,37.838,37.819,42.626,NaN,37.297,37.299,37.417,,,,37.402,37.685,38.042,,,
Pink 10dB SNR,38.202,38.171,38.229,38.158,44.051,NaN,,37.579,37.506,37.728,,,,38.114,38.761,42.671,,
Pink 0dB SNR,38.611,38.588,38.573,40.227,40.689,46.247,,,37.934,39.078,42.325,,,,39.841,41.518,43.347,
Pink -10dB SNR,39.738,39.744,39.762,42.358,44.548,NaN,,,,,42.229,,,,,,45.075,
Pink -20dB SNR,39.619,39.571,39.602,42.426,45.740,46.895,,,,,,NaN,,,,,,47.283
Brown 30dB SNR,38.207,38.198,,,,,37.720,37.739,37.855,41.701,NaN,NaN,37.776,37.963,,,,
Brown 20dB SNR,38.207,38.198,36.896,,,,36.831,36.749,36.623,36.969,NaN,NaN,36.838,36.907,37.406,,,
Brown 10dB SNR,,37.535,37.510,38.435,,,37.200,37.212,37.285,37.316,39.187,NaN,,37.431,38.154,41.434,,
Brown 0dB SNR,,,38.844,39.887,NaN,,38.431,38.417,38.535,38.767,41.047,NaN,,,38.790,NaN,NaN,
Brown -10dB SNR,,,,,42.913,,41.918,41.914,41.938,42.129,42.734,43.011,,,,,43.122,
Brown -20dB SNR,,,,,,46.850,39.545,39.536,39.727,40.707,43.594,44.980,,,,,,47.655
White 30dB SNR,38.167,38.181,,,,,37.271,37.253,,,,,37.360,37.935,40.471,48.128,NaN,NaN
White 20dB SNR,37.629,37.606,37.603,,,,37.218,37.201,37.165,,,,37.361,37.667,38.071,43.753,NaN,NaN
White 10dB SNR,,38.027,38.015,39.010,,,,37.704,37.584,41.627,,,37.750,37.942,38.474,39.215,41.057,NaN
White 0dB SNR,,,38.046,39.119,45.908,,,,37.296,37.424,47.376,,37.755,38.020,38.905,40.672,41.323,45.534
White -10dB SNR,,,,,43.366,,,,,,48.128,,37.461,37.860,39.380,43.210,44.952,44.502
White -20dB SNR,,,,,,NaN,,,,,,NaN,38.423,38.863,40.439,43.464,45.665,46.682
