Train/Test,Pink 30dB SNR,Pink 20dB SNR,Pink 10dB SNR,Pink 0dB SNR,Pink -10dB SNR,Pink -20dB SNR,Brown 30dB SNR,Brown 20dB SNR,Brown 10dB SNR,Brown 0dB SNR,Brown -10dB SNR,Brown -20dB SNR,White 30dB SNR,White 20dB SNR,White 10dB SNR,White 0dB SNR,White -10dB SNR,White -20dB SNR
Pink 30dB SNR,10.776,13.586,13.565,16.192,26.027,NaN,10.749,10.772,,,,,11.050,12.451,,,,
Pink 20dB SNR,15.834,15.812,15.829,17.990,38.529,NaN,12.700,12.738,13.155,,,,13.041,14.744,17.205,,,
Pink 10dB SNR,15.781,15.900,15.806,17.341,41.536,NaN,,12.178,12.120,12.359,,,,14.752,18.460,33.115,,
Pink 0dB SNR,15.299,15.292,15.293,23.398,27.703,32.853,,,12.484,17.145,25.470,,,,20.488,29.075,33.032,
Pink -10dB SNR,22.881,22.927,22.936,32.457,39.951,NaN,,,,,31.509,,,,,,41.193,
Pink -20dB SNR,22.479,22.555,22.528,31.867,42.910,44.001,,,,,,NaN,,,,,,44.371
Brown 30dB SNR,13.483,13.474,,,,,11.636,11.703,11.907,23.473,NaN,NaN,11.847,12.496,,,,
Brown 20dB SNR,13.483,13.474,9.013,,,,8.597,8.628,8.623,11.085,NaN,NaN,8.629,8.781,11.028,,,
Brown 10dB SNR,,12.832,12.821,18.696,,,11.466,11.537,11.784,12.761,20.511,NaN,,12.164,15.888,33.201,,
Brown 0dB SNR,,,19.411,25.022,NaN,,17.601,17.589,17.837,18.709,26.618,NaN,,,20.891,NaN,NaN,
Brown -10dB SNR,,,,,35.409,,26.908,26.908,27.106,28.804,33.040,35.892,,,,,37.568,
Brown -20dB SNR,,,,,,44.680,22.841,22.834,23.297,26.288,35.590,41.124,,,,,,45.657
White 30dB SNR,16.054,16.102,,,,,11.825,11.824,,,,,12.258,14.571,26.884,45.788,NaN,NaN
White 20dB SNR,12.370,12.378,12.335,,,,9.972,9.936,10.076,,,,10.165,11.792,14.209,36.549,NaN,NaN
White 10dB SNR,,14.779,14.833,18.586,,,,12.466,11.900,24.454,,,12.786,14.157,16.973,17.603,21.167,NaN
White 0dB SNR,,,13.758,21.642,37.144,,,,10.871,11.167,43.143,,12.164,13.364,18.807,27.038,30.733,35.948
White -10dB SNR,,,,,38.476,,,,,,45.797,,12.514,13.285,17.760,17.760,42.440,44.195
White -20dB SNR,,,,,,NaN,,,,,,NaN,19.938,21.293,28.322,36.980,43.055,44.879
