Train Noise Type,Train Signal-to-Noise Ratio,Percent Clean,Test Noise Type,Test Signal-to-Noise Ratio,LSD,LSD of Respective Brown Noise Model with All Clean HRTF,Difference LSD,Mean Polar ACC Error ,Polar Error of Respective Brown Noise Model with All Clean HRTF ,Absolute Difference in Polar Error ACC,Mean Polar RMS Error,Mean Polar RMS of Respective Brown Noise Model with All Clean HRTF,Difference in Mean Polar RMS,Mean Quadrant Error,Mean Quadrant Error of Respective Brown Noise Model with All Clean HRTF,Difference in Mean Quadrant Error
Brown,20,75,Brown,30,4.091,3.913,0.178,-5.019,-0.010,5.009,37.524,36.831,0.693,11.022,8.597,2.425
Brown,20,75,Brown,20,4.092,3.917,0.175,-4.866,0.109,4.757,37.508,36.749,0.759,10.948,8.628,2.32
Brown,20,75,Brown,10,4.096,3.969,0.127,-4.272,0.607,3.665,37.314,36.623,0.691,10.808,8.623,2.185
Brown,20,75,Brown,0,5.721,5.181,0.54,-10.983,-3.639,7.344,38.252,36.969,1.283,14.859,11.085,3.774
Brown,20,75,Brown,-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,20,75,Brown,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,20,75,Pink,30,4.310,4.052,0.258,-5.351,-6.794,-1.443,37.716,38.207,-0.491,11.915,13.483,-1.568
Brown,20,75,Pink,20,4.312,4.053,0.259,-5.371,-6.806,-1.435,37.751,38.198,-0.447,12.009,13.474,-1.465
Brown,20,75,Pink,10,4.310,4.052,0.258,-5.333,-0.240,5.093,37.731,36.896,0.835,11.965,9.013,2.952
Brown,20,75,White,30,4.121,3.920,0.201,-5.075,-0.100,4.975,37.559,36.838,0.721,11.189,8.629,2.56
Brown,20,75,White,20,4.232,4.051,0.181,-5.439,-0.449,4.99,37.660,-0.449,38.109,11.661,8.781,2.88
Brown,20,75,White,10,4.840,4.423,0.417,-8.212,-2.457,5.755,38.365,-2.457,40.822,15.110,11.028,4.082
Brown,20,50,Brown,30,4.041,3.913,0.128,-2.923,-0.010,2.913,37.406,36.831,0.575,10.739,8.597,2.142
Brown,20,50,Brown,20,4.045,3.917,0.128,-2.881,0.109,2.772,37.409,36.749,0.66,10.754,8.628,2.126
Brown,20,50,Brown,10,4.095,3.969,0.126,-2.177,0.607,1.57,37.311,36.623,0.688,10.823,8.623,2.2
Brown,20,50,Brown,0,6.473,5.181,1.292,-10.289,-3.639,6.65,38.793,36.969,1.824,16.530,11.085,5.445
Brown,20,50,Brown,-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,20,50,Brown,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,20,50,Pink,30,4.316,4.052,0.264,-4.269,-6.794,-2.525,37.698,38.207,-0.509,12.098,13.483,-1.385
Brown,20,50,Pink,20,4.318,4.053,0.265,-4.337,-6.806,-2.469,37.701,38.198,-0.497,12.073,13.474,-1.401
Brown,20,50,Pink,10,4.319,4.052,0.267,-4.250,-0.240,4.010,37.659,36.896,0.763,12.073,9.013,3.06
Brown,20,50,White,30,4.068,3.920,0.148,-3.151,-0.100,3.051,37.474,36.838,0.636,10.894,8.629,2.265
Brown,20,50,White,20,4.188,4.051,0.137,-3.922,-0.449,3.473,37.590,-0.449,38.039,11.453,8.781,2.672
Brown,20,50,White,10,4.958,4.423,0.535,-9.310,-2.457,6.853,38.381,-2.457,40.838,15.964,11.028,4.936
Brown,20,25,Brown,30,3.969,3.913,0.056,-2.450,-0.010,2.440,36.504,36.831,-0.327,8.609,8.597,0.012
Brown,20,25,Brown,20,3.973,3.917,0.056,-2.355,0.109,2.246,36.434,36.749,-0.315,8.613,8.628,-0.015
Brown,20,25,Brown,10,4.053,3.969,0.084,-1.808,0.607,1.201,36.323,36.623,-0.3,8.695,8.623,0.072
Brown,20,25,Brown,0,5.693,5.181,0.512,-6.698,-3.639,3.059,36.348,36.969,-0.621,12.406,11.085,1.321
Brown,20,25,Brown,-10,20.724,NaN,NaN,-39.894,NaN,NaN,44.220,NaN,NaN,34.800,NaN,NaN
Brown,20,25,Brown,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,20,25,Pink,30,4.144,4.052,0.092,-3.298,-6.794,-3.496,36.610,38.207,-1.597,9.669,13.483,-3.814
Brown,20,25,Pink,20,4.144,4.053,0.091,-3.289,-6.806,-3.517,36.634,38.198,-1.564,9.696,13.474,-3.778
Brown,20,25,Pink,10,4.147,4.052,0.095,-3.335,-0.240,3.095,36.668,36.896,-0.228,9.699,9.013,0.686
Brown,20,25,White,30,3.978,3.920,0.058,-2.615,-0.100,2.515,36.538,36.838,-0.3,8.696,8.629,0.067
Brown,20,25,White,20,4.040,4.051,-0.011,-3.225,-0.449,2.776,36.638,-0.449,37.087,9.095,8.781,0.314
Brown,20,25,White,10,4.556,4.423,0.133,-6.933,-2.457,4.476,37.201,-2.457,39.658,12.752,11.028,1.724
Brown,20,0,Brown,30,3.975,3.913,0.062,0.260,-0.010,0.250,36.887,36.831,0.056,8.591,8.597,-0.006
Brown,20,0,Brown,20,3.984,3.917,0.067,0.417,0.109,0.308,36.871,36.749,0.122,8.603,8.628,-0.025
Brown,20,0,Brown,10,4.113,3.969,0.144,1.497,0.607,0.89,36.763,36.623,0.14,8.704,8.623,0.081
Brown,20,0,Brown,0,6.363,5.181,1.182,5.954,-3.639,2.315,37.070,36.969,0.101,11.539,11.085,0.454
Brown,20,0,Brown,-10,25.122,NaN,NaN,-32.688,NaN,NaN,44.630,NaN,NaN,25.767,NaN,NaN
Brown,20,0,Brown,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,20,0,Pink,30,4.150,4.052,0.098,-0.129,-6.794,-6.665,37.196,38.207,-1.011,9.358,13.483,-4.125
Brown,20,0,Pink,20,4.149,4.053,0.096,-0.114,-6.806,-6.692,37.183,38.198,-1.015,9.358,13.474,-4.116
Brown,20,0,Pink,10,4.150,4.052,0.098,-0.189,-0.240,-0.051,37.221,36.896,0.325,9.384,9.013,0.371
Brown,20,0,White,30,3.979,3.920,0.059,0.146,-0.100,0.046,36.958,36.838,0.12,8.671,8.629,0.042
Brown,20,0,White,20,4.027,4.051,-0.024,-0.419,-0.449,-0.03,37.087,-0.449,37.536,8.996,8.781,0.215
Brown,20,0,White,10,4.535,4.423,0.112,-3.431,-2.457,0.974,37.954,-2.457,40.411,12.395,11.028,1.367
Brown,10,75,Brown,30,4.387,4.164,0.223,0.368,0.993,-0.625,37.275,37.200,0.075,11.328,11.466,-0.138
Brown,10,75,Brown,20,4.396,4.169,0.227,0.316,0.985,-0.669,37.241,37.212,0.029,11.427,11.537,-0.11
Brown,10,75,Brown,10,4.480,4.239,0.241,-0.026,0.782,-0.756,37.388,37.285,0.103,11.675,11.784,-0.109
Brown,10,75,Brown,0,4.926,4.527,0.399,-0.697,1.500,-0.803,37.960,37.316,0.644,13.374,12.761,0.613
Brown,10,75,Brown,-10,9.066,6.644,2.422,-22.071,-7.949,14.122,41.650,39.187,2.463,30.185,20.511,9.674
Brown,10,75,Brown,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,10,75,Pink,20,4.749,4.437,0.312,-1.809,-0.272,1.537,37.790,37.535,0.255,13.279,12.832,0.447
Brown,10,75,Pink,10,4.748,4.436,0.312,-1.829,-0.179,1.65,37.806,37.510,0.296,13.226,12.821,0.405
Brown,10,75,Pink,0,6.486,5.549,0.937,-12.964,-4.471,8.493,39.685,38.435,1.25,23.206,18.696,4.51
Brown,10,75,White,20,4.564,4.297,0.267,-0.873,-0.449,0.424,37.528,37.431,0.097,12.381,12.164,0.217
Brown,10,75,White,10,5.422,5.038,0.384,-5.682,-2.457,3.225,38.558,38.154,0.404,16.801,15.888,0.913
Brown,10,75,White,0,11.257,9.005,2.252,-34.929,-25.747,9.182,42.728,41.434,1.294,34.613,33.201,1.412
Brown,10,50,Brown,30,4.088,4.164,-0.076,-2.075,0.993,1.082,36.542,37.200,-0.658,9.259,11.466,-2.207
Brown,10,50,Brown,20,4.097,4.169,-0.072,-2.187,0.985,1.202,36.517,37.212,-0.695,9.282,11.537,-2.255
Brown,10,50,Brown,10,4.191,4.239,-0.048,-2.744,0.782,1.962,36.666,37.285,-0.619,9.643,11.784,-2.141
Brown,10,50,Brown,0,4.665,4.527,0.138,-4.570,1.500,3.070,37.057,37.316,-0.259,11.989,12.761,-0.772
Brown,10,50,Brown,-10,6.914,6.644,0.27,-10.825,-7.949,2.876,38.659,39.187,-0.528,22.931,20.511,2.42
Brown,10,50,Brown,-20,20.087,NaN,NaN,-42.601,NaN,NaN,45.345,NaN,NaN,39.440,NaN,NaN
Brown,10,50,Pink,20,4.443,4.437,0.006,-4.276,-0.272,4.004,36.900,37.535,-0.635,11.012,12.832,-1.82
Brown,10,50,Pink,10,4.442,4.436,0.006,-4.269,-0.179,4.09,36.900,37.510,-0.610,10.966,12.821,-1.855
Brown,10,50,Pink,0,5.860,5.549,0.311,-11.969,-4.471,7.498,38.145,38.435,-0.29,20.003,18.696,1.307
Brown,10,50,White,20,4.259,4.297,-0.038,-3.328,-0.449,2.879,36.726,37.431,-0.705,10.072,12.164,-2.092
Brown,10,50,White,10,5.110,5.038,0.072,-7.353,-2.457,4.896,37.507,38.154,-0.647,14.111,15.888,-1.777
Brown,10,50,White,0,9.948,9.005,0.943,-32.550,-25.747,6.803,41.821,41.434,0.387,33.855,33.201,0.654
Brown,10,25,Brown,30,4.216,4.164,0.052,2.412,0.993,1.419,36.648,37.200,-0.552,9.025,11.466,-2.441
Brown,10,25,Brown,20,4.222,4.169,0.053,2.357,0.985,1.372,36.611,37.212,-0.601,9.091,11.537,-2.446
Brown,10,25,Brown,10,4.300,4.239,0.061,2.006,0.782,1.224,36.731,37.285,-0.554,9.229,11.784,-2.555
Brown,10,25,Brown,0,4.774,4.527,0.247,1.839,1.500,0.339,36.881,37.316,-0.435,10.477,12.761,-2.284
Brown,10,25,Brown,-10,9.758,6.644,3.114,-18.836,-7.949,10.887,40.005,39.187,0.818,26.991,20.511,6.48
Brown,10,25,Brown,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brown,10,25,Pink,20,4.463,4.437,0.026,0.865,-0.272,0.593,36.988,37.535,-0.547,10.072,12.832,-2.76
Brown,10,25,Pink,10,4.464,4.436,0.028,0.945,-0.179,0.766,36.986,37.510,-0.524,10.019,12.821,-2.802
Brown,10,25,Pink,0,5.674,5.549,0.125,-5.224,-4.471,0.753,38.239,38.435,-0.196,17.991,18.696,-0.705
Brown,10,25,White,20,4.329,4.297,0.032,1.473,-0.449,1.024,36.835,37.431,-0.596,9.529,12.164,-2.635
Brown,10,25,White,10,4.987,5.038,-0.051,-1.826,-2.457,-0.631,37.503,38.154,-0.651,12.618,15.888,-3.27
Brown,10,25,White,0,10.940,9.005,1.935,-31.125,-25.747,5.378,41.595,41.434,0.161,33.622,33.201,0.421
Brown,10,0,Brown,30,4.419,4.164,0.255,-0.856,0.993,-0.137,37.113,37.200,-0.087,9.802,11.466,-1.664
Brown,10,0,Brown,20,4.413,4.169,0.244,-0.837,0.985,-0.148,37.081,37.212,-0.131,9.776,11.537,-1.761
Brown,10,0,Brown,10,4.362,4.239,0.123,-0.190,0.782,-0.592,37.035,37.285,-0.25,9.702,11.784,-2.082
